date,ticker,open,high,low,close,adj_close,volume
2018-01-02,TSLA,50.1,50.1,50.0,50.0,50.0,333363806
2018-01-03,TSLA,50.57,51.5,50.57,50.65,50.65,921101854
2018-01-04,TSLA,50.43,50.59,49.91,50.5,50.5,243149547
2018-01-05,TSLA,50.89,51.35,50.89,51.35,51.35,681439144
2018-01-08,TSLA,53.39,53.39,53.37,53.37,53.37,1041796429
2018-01-09,TSLA,53.09,53.09,52.25,53.08,53.08,585173457
2018-01-10,TSLA,52.43,53.41,52.43,52.8,52.8,425909492
2018-01-11,TSLA,54.52,55.33,54.52,54.95,54.95,1328971380
2018-01-12,TSLA,55.62,57.08,54.96,56.04,56.04,751755973
2018-01-15,TSLA,54.97,55.58,54.63,55.42,55.42,596301882
2018-01-16,TSLA,56.32,56.4,56.2,56.2,56.2,820264619
2018-01-17,TSLA,55.24,55.58,55.24,55.58,55.58,3891270255
2018-01-18,TSLA,54.69,55.22,53.64,54.96,54.96,1598132680
2018-01-19,TSLA,54.96,55.32,54.83,55.32,55.32,1606854215
2018-01-22,TSLA,53.25,53.25,52.37,52.77,52.77,1038795588
2018-01-23,TSLA,50.92,50.92,50.56,50.56,50.56,883932414
2018-01-24,TSLA,49.61,50.21,49.61,49.88,49.88,189965042
2018-01-25,TSLA,48.49,49.12,48.49,48.66,48.66,532243575
2018-01-26,TSLA,48.78,50.1,48.54,49.07,49.07,599529268
2018-01-29,TSLA,47.98,49.02,47.98,47.99,47.99,259707034
2018-01-30,TSLA,45.9,46.67,45.9,46.35,46.35,399430574
2018-01-31,TSLA,48.26,48.26,47.69,48.1,48.1,243712087
2018-02-01,TSLA,47.87,48.52,47.33,47.85,47.85,781718843
2018-02-02,TSLA,48.34,48.49,47.96,47.96,47.96,1307338963
2018-02-05,TSLA,45.99,46.3,45.99,46.3,46.3,1553948131
2018-02-06,TSLA,45.97,45.97,45.57,45.7,45.7,1025935460
2018-02-07,TSLA,46.11,46.67,45.81,45.85,45.85,448743581
2018-02-08,TSLA,44.23,44.6,44.01,44.57,44.57,250949154
2018-02-09,TSLA,44.92,45.2,44.91,45.01,45.01,278764746
2018-02-12,TSLA,44.07,44.58,44.07,44.36,44.36,373567942
2018-02-13,TSLA,43.84,44.06,43.84,44.06,44.06,469267807
2018-02-14,TSLA,43.22,43.42,43.22,43.42,43.42,726792010
2018-02-15,TSLA,45.55,45.85,45.5,45.5,45.5,435280613
2018-02-16,TSLA,45.43,45.51,45.07,45.51,45.51,980316009
2018-02-19,TSLA,44.74,44.74,44.34,44.34,44.34,695843890
2018-02-20,TSLA,44.95,46.0,44.57,45.29,45.29,804979546
2018-02-21,TSLA,44.36,44.36,43.59,43.95,43.95,1585475709
2018-02-22,TSLA,43.96,44.27,43.96,44.2,44.2,393999799
2018-02-23,TSLA,42.34,42.34,41.98,42.11,42.11,1028351371
2018-02-26,TSLA,40.62,41.61,40.62,40.75,40.75,793223882
2018-02-27,TSLA,40.68,40.97,40.68,40.97,40.97,654844415
2018-02-28,TSLA,42.05,42.05,41.76,41.76,41.76,1360548538
2018-03-01,TSLA,41.8,42.44,41.8,41.96,41.96,1355462406
2018-03-02,TSLA,41.99,42.38,41.29,41.85,41.85,453318497
2018-03-05,TSLA,41.62,41.62,41.56,41.56,41.56,717084073
2018-03-06,TSLA,40.05,40.59,39.63,40.07,40.07,946921741
2018-03-07,TSLA,39.37,39.55,39.03,39.38,39.38,679043637
2018-03-08,TSLA,39.13,39.13,38.88,38.95,38.95,1136265448
2018-03-09,TSLA,39.68,40.01,39.58,40.01,40.01,946910569
2018-03-12,TSLA,40.51,40.51,39.65,40.37,40.37,2401925980
2018-03-13,TSLA,38.96,39.09,38.65,38.65,38.65,319360947
2018-03-14,TSLA,38.64,39.1,38.64,38.98,38.98,743246570
2018-03-15,TSLA,38.35,38.63,38.35,38.63,38.63,463769626
2018-03-16,TSLA,38.16,38.42,38.0,38.0,38.0,1149352380
2018-03-19,TSLA,38.56,38.92,38.56,38.6,38.6,303137442
2018-03-20,TSLA,39.55,39.63,39.55,39.63,39.63,984640961
2018-03-21,TSLA,40.29,40.82,39.97,40.58,40.58,548101442
2018-03-22,TSLA,39.77,39.77,39.74,39.76,39.76,514910100
2018-03-23,TSLA,39.18,39.81,39.18,39.47,39.47,335825110
2018-03-26,TSLA,39.8,40.16,39.8,39.82,39.82,605130340
2018-03-27,TSLA,41.04,41.42,40.82,40.82,40.82,1533318715
